INFO:2023/11/02 13:19:30 statistic.go:23: Обновляем стату: 13457.	PositionId: 16656	CityId:1	Count:10178	Exp:Нет опыта	Salary:114679.000000	SpecsCount:278	AreasCount:58	
INFO:2023/11/02 13:19:31 statistic.go:23: Обновляем стату: 13393.	PositionId: 841	CityId:1	Count:10064	Exp:От 1 года до 3 лет	Salary:78395.000000	SpecsCount:45	AreasCount:37	
INFO:2023/11/02 13:19:31 statistic.go:23: Обновляем стату: 13397.	PositionId: 99	CityId:1	Count:9837	Exp:Нет опыта	Salary:63447.000000	SpecsCount:42	AreasCount:34	
INFO:2023/11/02 13:19:32 statistic.go:23: Обновляем стату: 13396.	PositionId: 116	CityId:1	Count:9675	Exp:Нет опыта	Salary:60767.000000	SpecsCount:56	AreasCount:20	
INFO:2023/11/02 13:19:32 statistic.go:23: Обновляем стату: 13453.	PositionId: 16656	CityId:76	Count:8539	Exp:Нет опыта	Salary:8789575.000000	SpecsCount:255	AreasCount:60	
INFO:2023/11/02 13:19:33 statistic.go:23: Обновляем стату: 13394.	PositionId: 356	CityId:1	Count:8431	Exp:От 1 года до 3 лет	Salary:127682.000000	SpecsCount:65	AreasCount:45	
INFO:2023/11/02 13:19:53 statistic.go:23: Обновляем стату: 13477.	PositionId: 323	CityId:1	Count:3926	Exp:От 1 года до 3 лет	Salary:197297.000000	SpecsCount:6	AreasCount:4	
INFO:2023/11/02 13:19:54 statistic.go:23: Обновляем стату: 13837.	PositionId: 678	CityId:1	Count:838	Exp:От 1 года до 3 лет	Salary:281477.000000	SpecsCount:3	AreasCount:2	
INFO:2023/11/02 13:19:54 statistic.go:23: Обновляем стату: 14121.	PositionId: 677	CityId:1	Count:589	Exp:От 1 года до 3 лет	Salary:185380.000000	SpecsCount:3	AreasCount:1	
INFO:2023/11/02 13:19:54 statistic.go:23: Обновляем стату: 20953.	PositionId: 676	CityId:1	Count:185	Exp:От 1 года до 3 лет	Salary:150021.000000	SpecsCount:3	AreasCount:1	
INFO:2023/11/02 13:19:54 statistic.go:23: Обновляем стату: 17986.	PositionId: 323	CityId:76	Count:163	Exp:От 1 года до 3 лет	Salary:200384.000000	SpecsCount:5	AreasCount:4	
INFO:2023/11/02 13:19:54 statistic.go:23: Обновляем стату: 26551.	PositionId: 675	CityId:1	Count:122	Exp:Нет опыта	Salary:207380.000000	SpecsCount:3	AreasCount:1	
INFO:2023/11/02 13:19:55 statistic.go:23: Обновляем стату: 23159.	PositionId: 678	CityId:76	Count:46	Exp:От 3 до 6 лет	Salary:294648.000000	SpecsCount:3	AreasCount:1	
INFO:2023/11/02 13:19:55 statistic.go:23: Обновляем стату: 22883.	PositionId: 323	CityId:279	Count:45	Exp:От 1 года до 3 лет	Salary:137208.000000	SpecsCount:2	AreasCount:2	
INFO:2023/11/02 13:19:55 statistic.go:23: Обновляем стату: 25132.	PositionId: 323	CityId:379	Count:30	Exp:От 1 года до 3 лет	Salary:185000.000000	SpecsCount:2	AreasCount:1	
INFO:2023/11/02 13:19:55 statistic.go:23: Обновляем стату: 25617.	PositionId: 323	CityId:442	Count:27	Exp:От 1 года до 3 лет	Salary:204444.000000	SpecsCount:1	AreasCount:2	
INFO:2023/11/02 13:19:55 statistic.go:23: Обновляем стату: 29090.	PositionId: 677	CityId:76	Count:25	Exp:От 1 года до 3 лет	Salary:248611.000000	SpecsCount:3	AreasCount:1	
